Parity,Head,Tail,Close
GRTTRY,GRT,TRY,2.35300000
DEXEUSDT,DEXE,USDT,1.92500000
LTOBUSD,LTO,BUSD,0.06130000
ADXBUSD,ADX,BUSD,0.13140000
QUICKBTC,QUICK,BTC,0.00163800
QUICKBUSD,QUICK,BUSD,42.70000000
C98USDT,C98,USDT,0.13260000
C98BUSD,C98,BUSD,0.13270000
C98BTC,C98,BTC,0.00000510
CLVBTC,CLV,BTC,0.00000124
CLVBUSD,CLV,BUSD,0.03190000
CLVUSDT,CLV,USDT,0.03185000
QNTBTC,QNT,BTC,0.00378600
QNTBNB,QNT,BNB,0.40720000
QNTBUSD,QNT,BUSD,97.90000000
QNTUSDT,QNT,USDT,97.90000000
FLOWBTC,FLOW,BTC,0.00001879
FLOWBNB,FLOW,BNB,0.00202700
FLOWBUSD,FLOW,BUSD,0.48600000
FLOWUSDT,FLOW,USDT,0.48600000
XECBUSD,XEC,BUSD,0.00002029
TVKUSDT,TVK,USDT,0.02560000
MINABTC,MINA,BTC,0.00001615
MINABNB,MINA,BNB,0.00173100
MINABUSD,MINA,BUSD,0.41800000
MINAUSDT,MINA,USDT,0.41800000
RAYBNB,RAY,BNB,0.00070800
RAYBUSD,RAY,BUSD,0.17070000
RAYUSDT,RAY,USDT,0.17120000
FARMBTC,FARM,BTC,0.00084500
FARMBUSD,FARM,BUSD,21.87000000
FARMUSDT,FARM,USDT,21.88000000
ALPACABTC,ALPACA,BTC,0.00000551
ALPACABUSD,ALPACA,BUSD,0.14380000
ALPACAUSDT,ALPACA,USDT,0.14410000
TLMTRY,TLM,TRY,0.24550000
QUICKUSDT,QUICK,USDT,42.70000000
ORNBUSD,ORN,BUSD,0.68280000
MBOXBTC,MBOX,BTC,0.00001197
MBOXBNB,MBOX,BNB,0.00128900
MBOXBUSD,MBOX,BUSD,0.31000000
MBOXUSDT,MBOX,USDT,0.31000000
FORUSDT,FOR,USDT,0.01760000
REQUSDT,REQ,USDT,0.07200000
GHSTUSDT,GHST,USDT,0.88300000
WAXPUSDT,WAXP,USDT,0.04210000
WAXPBUSD,WAXP,BUSD,0.04230000
WAXPBNB,WAXP,BNB,0.00017820
WAXPBTC,WAXP,BTC,0.00000162
GNOUSDT,GNO,USDT,108.50000000
ARPATRY,ARPA,TRY,1.17870000
PROMBTC,PROM,BTC,0.00014620
MTLBUSD,MTL,BUSD,1.12900000
OGNBUSD,OGN,BUSD,0.07240000
XECUSDT,XEC,USDT,0.00002033
XRPBIDR,XRP,BIDR,7777.00
ELFUSDT,ELF,USDT,0.27110000
DYDXUSDT,DYDX,USDT,1.58900000
DYDXBUSD,DYDX,BUSD,1.58900000
DYDXBNB,DYDX,BNB,0.00662000
DYDXBTC,DYDX,BTC,0.00006139
ELFBUSD,ELF,BUSD,0.27110000
IDEXUSDT,IDEX,USDT,0.05801000
VIDTUSDT,VIDT,USDT,0.02127000
SOLBIDR,SOL,BIDR,222051.00
AXSBIDR,AXS,BIDR,72252.00
USDPUSDT,USDP,USDT,0.99990000
GALAUSDT,GALA,USDT,0.02186000
GALABUSD,GALA,BUSD,0.02186000
GALABNB,GALA,BNB,0.00009096
GALABTC,GALA,BTC,0.00000084
SUNBUSD,SUN,BUSD,0.00544000
ILVUSDT,ILV,USDT,44.59000000
ILVBUSD,ILV,BUSD,44.62000000
ILVBNB,ILV,BNB,0.18560000
ILVBTC,ILV,BTC,0.00172200
RENBUSD,REN,BUSD,0.05611700
YGGUSDT,YGG,USDT,0.13820000
YGGBUSD,YGG,BUSD,0.13830000
YGGBTC,YGG,BTC,0.00000533
STXBUSD,STX,BUSD,0.51350000
SYSUSDT,SYS,USDT,0.11910000
DFUSDT,DF,USDT,0.03630000
ARPARUB,ARPA,RUB,4.15100000
LTCUAH,LTC,UAH,2941.00000000
FETBUSD,FET,BUSD,0.18830000
ARPABUSD,ARPA,BUSD,0.04934000
LSKBUSD,LSK,BUSD,0.69200000
FIDAUSDT,FIDA,USDT,0.23020000
FIDABUSD,FIDA,BUSD,0.23030000
FIDABTC,FIDA,BTC,0.00000888
DENTBUSD,DENT,BUSD,0.00065800
FRONTUSDT,FRONT,USDT,0.13560000
